Event, subcl, eta_center, phi_center, time_center, eta_sig, phi_sig, etaphi_cov, timeeta_cov, energy, sw+
1390, 0, 0.156178, 5.15675, 0.173126, 0.0186608, 0.0190952, -0.00609471, 0.0201519, 443.873, 0.178744
1394, 0, 1.24063, 0.355341, 0.104898, 0.0192529, 0.0202348, -0.0454752, -0.156733, 1079.13, 0.289128
1402, 0, 1.37341, 4.55372, -0.0721754, 0.0183225, 0.0327901, 0.0514442, -0.136472, 74.1804, 0.312824
1404, 0, -0.610374, 0.672429, -0.559695, 0.0176063, 0.0298326, -0.00752026, 0.0370384, 35.8789, 0.801387
1408, 0, -0.0178786, 0.512373, -0.0697989, 0.0195132, 0.04687, -0.0514589, 0.0193141, 22.9527, 0
1410, 0, 0.624756, 6.0291, 0.0732202, 0.018942, 0.0185011, 0.00568531, 0.0556604, 298.127, 0.269381
1411, 0, -0.19531, 2.15518, 0.161159, 0.0191258, 0.0184415, -0.00912158, -0.0244723, 55.8084, 0.430409
1416, 0, -0.363284, 0.183113, 0.0511025, 0.0201409, 0.0224381, -0.120542, 0.129375, 159.481, 0.223933
1421, 0, -0.260084, 3.52131, 0.092552, 0.0189084, 0.0202866, -0.00626459, 0.0731945, 491.78, 0.455764
1426, 0, -1.29009, 1.98012, -0.285731, 0.0186116, 0.0228635, 0.00973686, 0.0037109, 264.015, 0.707851
1433, 0, -0.415006, 1.94907, 0.141746, 0.018509, 0.0190553, -0.000335518, 0.181325, 512.66, 0.227352
144, 0, 1.31455, 0.432738, 0.347265, 0.0233174, 0.0341545, 0.00202667, 0.00709201, 71.9688, 0.849509
151, 0, 0.50605, 6.16836, -0.00257781, 0.0188459, 0.0222727, 0.00710896, -0.167663, 246.567, 0.267108
1451, 0, 0.97272, 1.66986, -0.1765, 0.0200201, 0.0239074, 0.172647, -0.0660546, 66.0985, 1.07899
1452, 0, -0.473279, 4.19634, 0.0947306, 0.0187196, 0.0189438, -0.00544781, -0.18861, 258.147, 0.169756
1458, 0, 1.11394, 4.21362, 0.106235, 0.0187887, 0.0189409, -0.00655218, 0.0146574, 692.523, 0.194491
1466, 0, -1.15186, 1.18629, -0.135193, 0.0181502, 0.0273504, -0.00458105, -0.0710802, 258.438, 0.378919
1470, 0, 0.489271, 1.54127, 0.31685, 0.0184501, 0.0190056, -0.00377676, 0.0579495, 102.619, 0.214055
1471, 0, -0.156138, 4.99744, -0.180385, 0.0186203, 0.0198981, -0.0081709, 0.0206115, 259.191, 0.338256
