Event,subcl,eta_center,phi_center,time_center,eta_sig,phi_sig,etaphi_cov,timeeta_cov,energy,sw+,label
1942,0,1.0102,3.40341,0.395362,0.0184986,0.032951,0.0229942,-0.0158568,142.194,0.299701,-1
1951,0,0.176822,0.442903,0.293734,0.0191839,0.0214014,0.0102189,-0.0893171,160.868,0.328649,-1
1968,0,0.121742,6.03099,-0.161417,0.0183457,0.0188106,-0.000380435,0.0388689,86.3312,0.235303,-1
198,0,-1.17247,5.16625,0.0132598,0.0223399,0.0506981,-0.401939,0.0540431,121.569,0.354619,-1
1988,0,1.11467,3.40519,0.230218,0.019384,0.0454844,0.0200442,-0.133902,262.048,0.872297,-1
1997,0,0.946393,1.37685,-0.206166,0.0192087,0.0196989,-0.0139506,-0.138704,41.6998,1.3238,-1
1999,0,0.453489,3.81591,-0.0108232,0.0188577,0.0189389,-0.0181449,-0.0923561,64.0215,0.15532,-1
2008,0,-0.976648,2.99788,0.189618,0.0188039,0.0226422,-0.0268476,-0.132441,98.6408,0.628286,-1
2016,0,0.921771,2.79328,0.0351801,0.0211257,0.0398665,0.0220817,0.229125,52.5305,0.65062,-1
2017,0,-0.892817,6.20369,0.346234,0.0192827,0.0188381,0.00942272,-0.0372892,182.43,0.322918,-1
2025,0,0.875541,1.741,0.496525,0.0199357,0.0206109,0.149593,0.148694,187.524,0.170702,-1
2042,0,0.906587,1.75382,0.151428,0.019974,0.0311132,-0.0740596,-0.0507445,143.47,0.215545,-1
2058,0,-0.834829,2.71363,0.126835,0.0227683,0.0234391,-0.023784,0.212747,45.6115,0.579499,-1
2064,0,-1.03839,1.04285,-0.181246,0.0191711,0.0245366,-0.0544676,0.121951,51.8102,0.563049,-1
2065,0,-0.49206,4.1815,0.563595,0.0189174,0.0189618,-0.0223653,-0.0316492,142.554,0.235538,-1
2067,0,0.499586,4.72847,-0.440326,0.0194293,0.0450673,-0.0746881,0.121521,45.5045,2.09535,-1
2068,0,-0.0118956,2.46618,0.0588945,0.0191744,0.0197279,-0.0339411,-0.0404644,405.22,0.224577,-1
2069,0,-1.33926,3.27608,0.597298,0.0224576,0.0241681,-0.0125358,-0.0501249,90.4397,0.549882,-1
2070,0,1.2415,2.44482,0.448645,0.0212431,0.0371904,0.0582854,0.0784731,164.052,0.400097,-1
2071,0,0.906553,1.64958,0.356615,0.0192035,0.0182126,-0.0147901,0.163223,152.875,0.154845,-1
